Winter Garden Fl	1.3756213849238375
Kissimee	1.125547839381655
columbus	1.117151429730427
Newton MA	1.1082153261671859
Auatin	1.0325391357345677
Historical Park	1.0217890610982123
Mabelton	1.0114662456583532
Provincetown	0.9491235192503222
Columbus 	0.9053676180441713
Watertowm	0.8581332446613673
burnaby	0.8515416593849378
Fraser Heights	0.8183792900518342
Vancovuer	0.805199885958381
Southwest Tampa	0.7928575644921266
Altamonte Sprin	0.7925294465425214
Milwaulkie	0.7902703943264211
Grove city	0.7856064086901111
Dale	0.7819421041843766
Harbor Islands	0.7365776251735636
Port coquitlam	0.7357595287238222
Beuna Vista	0.7282525966040769
Milwuakie	0.7169041049529887
Kelowna	0.7145962533752122
GRANDVIEW	0.7133035454798072
TIgard	0.7071067811865476
Kings County	0.7071067811865476
Prontland	0.7071067811865476
Silverton	0.7071067811865475
acworth	0.69848141737412
North Portland	0.693573542736793
MILWAUKIE	0.668452397251188
West Point Grey	0.6648000665965411
Jeffries Point	0.6527912098338668
Boston-Winthrop	0.6509995141707257
Lousiville	0.649119892868804
Druid Hills	0.6375183874256185
Hays	0.6374635960270372
College Park Ga	0.63516371874114
Beaverton (Portland)	0.6327317539843148
North Vancouver District	0.6316105368167998
watertown	0.6291528696058958
MIlton	0.6233323647150977
Dr. Phillips	0.6229849725877361
Chestnut Hills	0.6221116465421292
Wekiva Springs	0.6099327265378738
Newburyport	0.6082984654548044
Lilburn	0.6026752285299544
Lago Vista	0.5929466040230318
Alton	0.5873412768356715
Greater Boston	0.5847195301857185
Orlando, Florida	0.5773502691896255
LAKE CITY	0.5773502691896253
Worcester	0.576601165000397
Tillamoo	0.5748839100307158
Northwest Clackamas	0.5736763476802333
oviedo	0.572463296648925
Babson Park	0.5648448402716494
Deland	0.5634810023225739
Orlando Florida	0.5620678291140084
Austin.	0.5575081566619771
LONGWOOD	0.5567183110154719
EAST  Boston	0.5507322723339467
norwood	0.5400617248673216
Commercial Point	0.538759040423903
austin	0.5367178488021277
Hiliard	0.531089446936048
Historic Milwaukie	0.5302417144298928
Brighton Newton	0.5275540593545908
Sandy springs	0.5195461610879378
Greater Boston Area	0.5119968642169554
Lithopolis	0.4994377307645337
Dripping Springs.	0.4961004472296413
Maynard	0.4952873543020851
Decatur, GA	0.48790483507700333
Columbus - Lewis Center	0.47047431667467665
St Johns	0.4645275053162754
South Waltham	0.46407060657541677
Sellwood	0.46317080607066974
Austin, TX	0.44758306534354697
Winter Spring	0.44721359549995765
Thoroughbred Estates	0.44379306809369995
Ashland	0.4427346421887141
Hunters Creek	0.44266176903883425
EVERETT	0.44204010873809163
Fairburn	0.44046954936232285
Altamonte Springs, Florida	0.43367608959755827
Haines City	0.43016194317320877
Nashua	0.42812332123974867
DRIFTWOOD	0.42491892917567375
Austin - Westlake Hills	0.4212765120400083
Austin Tx	0.4205998588829602
San dy	0.4116308723722393
Austin SW	0.3994253812818581
Atlanta 	0.3979626787882107
NORTH VANCOUVER	0.3970686110941332
Oak Bluffs	0.3959227309553237
wakefield	0.39401122302397573
AUBURNDALE	0.39394722618143696
Boston College	0.38468658380209464
Christmas	0.37959387432205904
Kenansville	0.3788305329065064
Metro Atlanta	0.3782813129473711
Gunbarrel	0.3730216055313379
Sandy Spring	0.3674820846959
Columbus - Hilliard	0.3601605944387868
Marylhurst	0.35971525148207495
Orlando Fl	0.3580978401891176
Upper Arlignton	0.35757221949329704
Midway	0.3562342317157015
Pilot Knob Acres	0.35450813052230734
Orange	0.35385458620995486
Southeast Austin	0.3536679494226216
reading	0.35355339059327373
Winterpark	0.3529797164259595
Winter park	0.34869905284782815
portland	0.34733556756241396
BEAVERTON	0.347033392474955
Brookwood	0.34573779686863376
Westford	0.3453342682038137
S Boston	0.3452224281586966
E. Boston	0.34053265724523574
Newton Upper Fall	0.33869133664923234
West Roxury	0.33683689917656245
Decatur 	0.33333333333333354
Toronto	0.332026138755218
Clintonville	0.32940884383653996
DUNWOODY	0.3245923822351332
Amlin	0.3215044911159078
Kingston	0.3191885899697717
Jamestown	0.318186227521538
Urbancrest	0.3155023137677495
N. Billerica	0.3148960275123247
Loughman	0.31284128477831336
Lake Travis	0.31190134085044063
Norht Vancouver	0.3065621023482971
Washington County	0.30595050807992463
atlanta	0.29892452622338106
Hutto	0.2984116099956906
Galloway	0.29429963326133407
Central	0.29341567936440044
Hampton	0.29129027236270444
Sharon	0.28997268861922104
Waban	0.28913909537390453
Bastrop	0.28867513459481187
Northeast Orlando	0.2883679783021275
Nahant	0.28764225011243205
Brice	0.28674354085960324
Belcarra	0.2850197429553867
Wellesley,	0.2831138830084191
Durham	0.27993769298966026
Charleston	0.27935299851423673
Hapevile	0.272974658127575
Eldorado Springs	0.2710659111958122
Lake Grove	0.2687129640993553
Westlake Hills	0.26565527693782615
Garfield	0.26506919335130014
Galena	0.256886131659347
North Shore	0.25181257119195133
Anmore	0.2516060656555042
ChampionsGate	0.24922095092729368
Geneva	0.24850944616010032
Beacon Hill	0.24492796937981404
Franklin Park	0.23931626215106283
Greater Austin	0.23719451762287963
Orlando 	0.2368744186601556
Lake Buena	0.23372472180137527
Berkshire Township	0.22827019760529307
Avondale Estates	0.2240884583058961
Ocoee Fl	0.22349588870642156
Championsgate	0.2234544611911485
Lake Oswego, OR	0.2229159259557857
Ridgefield	0.22154235612630738
Aloma	0.22105050465624243
Port St. John	0.218853509002271
Dallas	0.21644722376775125
milwaukie	0.2161175547542372
Wilsonville	0.21546414406578793
Porltand	0.21468726447805891
Bowen Island	0.21322615866839306
boston	0.21283181571114426
